SL,Reg No,c1,c2,c3,T1
1,221FA18001,3,3,3,6
2,221FA18002,6,6,7,14
3,221FA18004,5,4,3,5
4,221FA18005,5,7,5,13
5,221FA18006,7,4,2,10
6,221FA18008,7,4,2,6
7,221FA18009,8,8,6,11
8,221FA18010,5,5,4,12
9,221FA18011,7,5,4,11
10,221FA18012,5,2,4,12
11,221FA18013,ab,,,5
12,221FA18015,4,7,4,4
13,221FA18016,3,3,2,4
14,221FA18017,8,8,6,12
15,221FA18019,5,6,5,13
16,221FA18020,6,6,6,11
17,221FA18022,7,7,4,13
18,221FA18023,5,4,2,7
19,221FA18024,7,6,3,13
20,221FA18025,8,4,6,15
21,221FA18026,6,4,2,12
22,221FA18027,7,8,7,13
23,221FA18028,6,6,2,8
24,221FA18030,7,7,5,14
25,221FA18031,4,2,2,7
26,221FA18032,5,3,4,9
27,221FA18033,5,6,7,8
28,221FA18034,4,3,2,5
29,221FA18036,5,5,5,16
30,221FA18038,6,3,4,6
31,221FA18039,6,2,3,10
32,221FA18040,4,6,6,12
33,221FA18042,7,6,6,14
34,221FA18043,3,1,1,6
35,221FA18044,6,5,5,10
36,221FA18045,7,6,7,13
37,221FA18046,6,2,1,5
38,221FA18047,4,4,3,10
39,221FA18048,9,9,8,16
40,221FA18049,8,5,3,8
41,221FA18050,7,3,4,6
42,221FA18051,,4,3,9
43,221FA18052,8,5,6,13
44,221FA18053,6,5,3,9
45,221FA18054,5,3,3,6
46,221FA18055,5,2,2,10
47,221FA18056,4,3,2,7
48,221FA18057,4,4,5,9
49,221FA18058,8,4,8,7
50,221FA18060,6,7,7,14
51,221FA18062,5,4,2,7
52,221FA18063,5,4,3,10
53,221FA18064,6,3,4,8
54,221FA18065,4,2,4,6
55,221FA18066,8,7,7,16
56,221FA18068,7,6,5,9
57,221FA18069,3,2,2,5
58,221FA18070,5,5,5,12
59,221FA18071,7,4,6,7
60,221FA18072,6,7,6,13
61,221FA18074,4,4,4,8
62,221FA18075,6,8,7,14
63,221FA18117,6,8,6,10
64,221FA18151,5,6,5,9
65,221FA18152,5,4,2,7
66,221FA18153,3,2,1,5
67,221FA18154,3,2,1,6
68,221FA18155,8,7,6,14
69,221FA18156,8,6,7,11
70,221FA18157,3,3,1,7
71,221FA18158,7,5,4,10
72,221FA18161,7,5,2,13
73,221FA18163,3,2,3,11
74,221FA18164,4,1,2,5
75,221FA18165,7,6,5,13
76,221FA18166,3,1,3,9
77,221FA18170,8,8,7,16
78,221FA18187,0,3,,4
79,231LA18001,5,,8,15
